"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"08/05/2026";"0000";"21,2";"23,1";"21,1";"79,0";"79,0";"69,0";"17,3";"17,4";"16,7";"957,3";"957,4";"956,9";"0,7";"159,0";"3,2";"";"0,0"
"08/05/2026";"0100";"20,3";"21,2";"20,2";"82,0";"82,0";"78,0";"17,1";"17,5";"17,0";"957,7";"957,7";"957,3";"0,4";"153,0";"3,0";"";"0,0"
"08/05/2026";"0200";"19,2";"20,4";"19,2";"87,0";"87,0";"81,0";"17,0";"17,4";"16,9";"958,2";"958,2";"957,7";"0,4";"226,0";"1,2";"";"0,0"
"08/05/2026";"0300";"22,2";"22,2";"19,1";"67,0";"88,0";"67,0";"15,8";"17,1";"15,6";"958,1";"958,2";"958,1";"1,6";"83,0";"3,3";"";"0,0"
"08/05/2026";"0400";"19,1";"22,2";"19,1";"86,0";"86,0";"67,0";"16,6";"16,8";"15,7";"957,8";"958,2";"957,8";"0,9";"22,0";"3,3";"";"0,0"
"08/05/2026";"0500";"20,2";"20,8";"18,9";"79,0";"87,0";"75,0";"16,5";"16,8";"16,1";"957,7";"957,9";"957,7";"1,7";"74,0";"4,3";"";"0,0"
"08/05/2026";"0600";"21,5";"21,7";"20,2";"71,0";"79,0";"71,0";"16,0";"16,5";"15,9";"957,5";"957,7";"957,5";"2,1";"95,0";"4,6";"";"0,0"
"08/05/2026";"0700";"20,3";"21,5";"20,3";"77,0";"77,0";"71,0";"16,2";"16,3";"16,0";"957,5";"957,5";"957,4";"1,5";"89,0";"4,2";"";"0,0"
"08/05/2026";"0800";"19,3";"20,5";"19,3";"83,0";"83,0";"77,0";"16,4";"16,4";"16,2";"957,9";"957,9";"957,5";"0,7";"98,0";"3,9";"";"0,0"
"08/05/2026";"0900";"17,7";"19,4";"17,4";"92,0";"92,0";"83,0";"16,5";"16,7";"15,9";"958,9";"958,9";"957,9";"0,8";"288,0";"2,0";"";"0,0"
"08/05/2026";"1000";"19,1";"19,1";"17,2";"87,0";"93,0";"87,0";"17,0";"17,0";"15,8";"959,7";"959,7";"958,9";"0,7";"164,0";"3,9";"76,80";"0,0"
"08/05/2026";"1100";"23,4";"23,4";"19,2";"69,0";"87,0";"68,0";"17,4";"17,7";"16,9";"960,5";"960,5";"959,7";"1,0";"90,0";"2,7";"889,80";"0,0"
"08/05/2026";"1200";"25,1";"25,2";"23,4";"61,0";"69,0";"60,0";"17,0";"17,4";"16,8";"961,3";"961,3";"960,5";"1,9";"93,0";"5,5";"1730,30";"0,0"
"08/05/2026";"1300";"26,9";"26,9";"25,0";"55,0";"61,0";"52,0";"17,0";"17,3";"15,9";"960,9";"961,4";"960,9";"3,1";"80,0";"7,7";"2411,20";"0,0"
"08/05/2026";"1400";"28,5";"28,8";"26,6";"45,0";"55,0";"45,0";"15,5";"16,6";"14,8";"959,8";"960,9";"959,8";"2,7";"97,0";"7,7";"2851,40";"0,0"
"08/05/2026";"1500";"29,4";"29,6";"27,7";"39,0";"48,0";"38,0";"14,1";"15,8";"13,6";"958,8";"959,7";"958,8";"2,2";"25,0";"5,8";"2928,10";"0,0"
"08/05/2026";"1600";"30,1";"30,6";"29,2";"38,0";"41,0";"35,0";"14,2";"14,7";"12,8";"957,5";"958,8";"957,5";"2,1";"100,0";"5,0";"2899,40";"0,0"
"08/05/2026";"1700";"30,6";"31,3";"30,1";"36,0";"40,0";"34,0";"13,7";"15,1";"13,0";"956,5";"957,5";"956,5";"2,2";"164,0";"5,5";"2707,20";"0,0"
"08/05/2026";"1800";"30,8";"31,4";"30,4";"36,0";"39,0";"33,0";"14,2";"15,3";"13,2";"956,0";"956,5";"955,9";"2,0";"97,0";"5,4";"2210,50";"0,0"
"08/05/2026";"1900";"30,5";"31,1";"30,3";"34,0";"37,0";"33,0";"12,8";"14,1";"12,4";"955,7";"956,0";"955,6";"2,4";"104,0";"5,2";"1518,90";"0,0"
"08/05/2026";"2000";"29,1";"30,5";"29,1";"39,0";"40,0";"32,0";"13,8";"14,1";"11,9";"955,7";"955,7";"955,5";"1,0";"70,0";"4,2";"694,00";"0,0"
"08/05/2026";"2100";"23,8";"29,1";"23,8";"70,0";"70,0";"39,0";"18,0";"18,0";"14,6";"955,9";"956,0";"955,7";"0,5";"177,0";"1,7";"38,00";"0,0"
"08/05/2026";"2200";"22,0";"23,7";"21,5";"77,0";"81,0";"70,0";"17,7";"18,4";"17,5";"956,3";"956,3";"955,9";"1,2";"150,0";"3,5";"";"0,0"
"08/05/2026";"2300";"21,3";"22,4";"21,3";"83,0";"83,0";"75,0";"18,4";"18,6";"17,7";"957,0";"957,0";"956,3";"0,7";"227,0";"3,5";"";"0,0"
